message,custom,label_class,idiom,sentences_clean
A delivery change for this package is in progress. / Delivery to a UPS Access Point™ location is pending.,No,transit,English,delivery change for this package is in progress. Delivery to ups access point location is pending.
A delivery change for this package is in progress. / The package will be returned to the sender.,No,exception,English,delivery change for this package is in progress. The package will be returned to the sender.
A delivery change for this package is in progress. / We&#39;ve rescheduled this delivery.,No,transit,English,delivery change for this package is in progress. We have rescheduled this delivery.
A delivery change for this package is in progress. / Your package will be delivered to an alternate address.,No,transit,English,delivery change for this package is in progress. Your package will be delivered to an alternate address.
A flight cancelation has delayed delivery. We're updating plans to deliver your package as quickly as possible.,No,exception,English,flight cancelation has delayed delivery. We are updating plans to deliver your package as quickly as possible.
A late flight has caused a delay. We will update the delivery date as soon as possible.,No,exception,English,late flight has caused delay. We will update the delivery date as soon as possible.
A late flight has caused a delay. We will update the delivery date as soon as possible. / Delivery will be rescheduled.,No,exception,English,late flight has caused delay. We will update the delivery date as soon as possible. Delivery will be rescheduled.
A late UPS trailer arrival has delayed delivery by one business day.,No,exception,English,late ups trailer arrival has delayed delivery by one business day.
A late UPS trailer arrival has delayed delivery. We're adjusting plans to deliver your package as quickly as possible.,No,exception,English,late ups trailer arrival has delayed delivery. We are adjusting plans to deliver your package as quickly as possible.
A late UPS trailer arrival has delayed delivery. We're adjusting plans to deliver your package as quickly as possible. / Delivery will be delayed by one business day.,No,exception,English,late ups trailer arrival has delayed delivery. We are adjusting plans to deliver your package as quickly as possible. Delivery will be delayed by one business day.
A late UPS trailer arrival has delayed delivery. We're adjusting plans to deliver your package as quickly as possible. / Delivery will be rescheduled.,No,exception,English,late ups trailer arrival has delayed delivery. We are adjusting plans to deliver your package as quickly as possible. Delivery will be rescheduled.
A mechanical failure has caused a delay. We will update the delivery date as soon as possible.,No,exception,English,mechanical failure has caused delay. We will update the delivery date as soon as possible.
A mechanical failure has caused a delay. We will update the delivery date as soon as possible. / Delivery will be delayed by one business day.,No,exception,English,mechanical failure has caused delay. We will update the delivery date as soon as possible. Delivery will be delayed by one business day.
A mechanical failure has caused a delay. We will update the delivery date as soon as possible. / Delivery will be rescheduled.,No,exception,English,mechanical failure has caused delay. We will update the delivery date as soon as possible. Delivery will be rescheduled.
A mechanical failure has delayed delivery. We're adjusting plans to deliver your package as quickly as possible.,No,exception,English,mechanical failure has delayed delivery. We are adjusting plans to deliver your package as quickly as possible.
A mechanical failure has delayed delivery. We're adjusting plans to deliver your package as quickly as possible. / Delivery will be delayed by one business day.,No,exception,English,mechanical failure has delayed delivery. We are adjusting plans to deliver your package as quickly as possible. Delivery will be delayed by one business day.
A mechanical failure has delayed delivery. We're adjusting plans to deliver your package as quickly as possible. / Delivery will be rescheduled.,No,exception,English,mechanical failure has delayed delivery. We are adjusting plans to deliver your package as quickly as possible. Delivery will be rescheduled.
A mechanical failure has delayed delivery. We're adjusting plans to deliver your package as quickly as possible. / Your shipment is scheduled to arrive today after the delivery commitment time.,No,exception,English,mechanical failure has delayed delivery. We are adjusting plans to deliver your package as quickly as possible. Your shipment is scheduled to arrive today after the delivery commitment time.
A missing commercial invoice is causing a delay.,No,exception,English,missing commercial invoice is causing delay.
A missing commercial invoice is causing a delay. / The package will be returned to the sender.,No,exception,English,missing commercial invoice is causing delay. The package will be returned to the sender.
A missing commercial invoice is causing a delay. / We'll contact the sender or receiver about this delivery.,No,exception,English,missing commercial invoice is causing delay. We will contact the sender or receiver about this delivery.
A missing commercial invoice is causing a delay. / Your package was released by the clearing agency.,No,transit,English,missing commercial invoice is causing delay. Your package was released by the clearing agency.
A natural disaster has delayed delivery. We are ready to deliver as soon as conditions allow. / The package will be returned to the sender.,No,exception,English,natural disaster has delayed delivery. We are ready to deliver as soon as conditions allow. The package will be returned to the sender.
A new tracking number was assigned to this package.  Use the new tracking number for status updates.,No,exception,English,new tracking number was assigned to this package. Use the new tracking number for status updates.
A non-UPS labor dispute has delayed delivery. We're working to deliver your package as quickly as possible.,No,exception,English,non ups labor dispute has delayed delivery. We are working to deliver your package as quickly as possible.
A phone number is required for clearance or delivery. We're working to obtain this information.,No,exception,English,phone number is required for clearance or delivery. We are working to obtain this information.
